Id,Rule Name,Product,Severity,Status,Confidence,Category,Is Pro Rule,Assistant Triage Result,Assistant Triage Reason,Assistant Component,Repository Name,Repository Url,Line Of Code Url,Semgrep Platform Link,Created At,Last Opened At,Branch,Triaged At,Triage Comment,Triage Reason,Rule Description
150205079,java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace,Code,Medium,Open,Medium,security,False,,,,linux984/keycloak,https://github.com/linux984/keycloak,https://github.com/linux984/keycloak/blob/c8738721df2cd2d16fe16adec571b4192354a771/crypto/elytron/src/main/java/org/keycloak/crypto/elytron/ElytronCertificateUtilsProvider.java#L330,https://semgrep.dev/orgs/anyhow_richness507-slmails-com/findings/150205079,2025-02-28 04:03:35.807668,2025-02-28 04:03:35.783274,refs/heads/main,,,,Possible active debug code detected. Deploying an application with debug code can create unintended entry points or expose sensitive information.
150205078,java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace,Code,Medium,Open,Medium,security,False,,,,linux984/keycloak,https://github.com/linux984/keycloak,https://github.com/linux984/keycloak/blob/c8738721df2cd2d16fe16adec571b4192354a771/crypto/fips1402/src/main/java/org/keycloak/crypto/fips/BCFIPSOCSPProvider.java#L211,https://semgrep.dev/orgs/anyhow_richness507-slmails-com/findings/150205078,2025-02-28 04:03:35.807653,2025-02-28 04:03:35.783269,refs/heads/main,,,,Possible active debug code detected. Deploying an application with debug code can create unintended entry points or expose sensitive information.
150205077,java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace,Code,Medium,Open,Medium,security,False,,,,linux984/keycloak,https://github.com/linux984/keycloak,https://github.com/linux984/keycloak/blob/c8738721df2cd2d16fe16adec571b4192354a771/crypto/fips1402/src/main/java/org/keycloak/crypto/fips/BCFIPSOCSPProvider.java#L445,https://semgrep.dev/orgs/anyhow_richness507-slmails-com/findings/150205077,2025-02-28 04:03:35.807639,2025-02-28 04:03:35.783262,refs/heads/main,,,,Possible active debug code detected. Deploying an application with debug code can create unintended entry points or expose sensitive information.
150205076,java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace,Code,Medium,Open,Medium,security,False,,,,linux984/keycloak,https://github.com/linux984/keycloak,https://github.com/linux984/keycloak/blob/c8738721df2cd2d16fe16adec571b4192354a771/federation/ldap/src/main/java/org/keycloak/storage/ldap/idm/store/ldap/LDAPOperationManager.java#L542,https://semgrep.dev/orgs/anyhow_richness507-slmails-com/findings/150205076,2025-02-28 04:03:35.807624,2025-02-28 04:03:35.783256,refs/heads/main,,,,Possible active debug code detected. Deploying an application with debug code can create unintended entry points or expose sensitive information.
150205075,java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace,Code,Medium,Open,Medium,security,False,,,,linux984/keycloak,https://github.com/linux984/keycloak,https://github.com/linux984/keycloak/blob/c8738721df2cd2d16fe16adec571b4192354a771/federation/ldap/src/main/java/org/keycloak/storage/ldap/idm/store/ldap/LDAPOperationManager.java#L550,https://semgrep.dev/orgs/anyhow_richness507-slmails-com/findings/150205075,2025-02-28 04:03:35.807609,2025-02-28 04:03:35.783251,refs/heads/main,,,,Possible active debug code detected. Deploying an application with debug code can create unintended entry points or expose sensitive information.
150205074,java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace,Code,Medium,Open,Medium,security,False,,,,linux984/keycloak,https://github.com/linux984/keycloak,https://github.com/linux984/keycloak/blob/c8738721df2cd2d16fe16adec571b4192354a771/federation/sssd/src/main/java/org/keycloak/federation/sssd/impl/PAMAuthenticator.java#L56,https://semgrep.dev/orgs/anyhow_richness507-slmails-com/findings/150205074,2025-02-28 04:03:35.807594,2025-02-28 04:03:35.783246,refs/heads/main,,,,Possible active debug code detected. Deploying an application with debug code can create unintended entry points or expose sensitive information.
150205073,java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace,Code,Medium,Open,Medium,security,False,,,,linux984/keycloak,https://github.com/linux984/keycloak,https://github.com/linux984/keycloak/blob/c8738721df2cd2d16fe16adec571b4192354a771/integration/client-cli/admin-cli/src/main/java/org/keycloak/client/cli/common/ExecutionExceptionHandler.java#L29,https://semgrep.dev/orgs/anyhow_richness507-slmails-com/findings/150205073,2025-02-28 04:03:35.807580,2025-02-28 04:03:35.783238,refs/heads/main,,,,Possible active debug code detected. Deploying an application with debug code can create unintended entry points or expose sensitive information.
150205072,java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace,Code,Medium,Open,Medium,security,False,,,,linux984/keycloak,https://github.com/linux984/keycloak,https://github.com/linux984/keycloak/blob/c8738721df2cd2d16fe16adec571b4192354a771/quarkus/runtime/src/main/java/org/keycloak/quarkus/runtime/cli/ExecutionExceptionHandler.java#L126,https://semgrep.dev/orgs/anyhow_richness507-slmails-com/findings/150205072,2025-02-28 04:03:35.807565,2025-02-28 04:03:35.783230,refs/heads/main,,,,Possible active debug code detected. Deploying an application with debug code can create unintended entry points or expose sensitive information.
150205071,java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace,Code,Medium,Open,Medium,security,False,,,,linux984/keycloak,https://github.com/linux984/keycloak,https://github.com/linux984/keycloak/blob/c8738721df2cd2d16fe16adec571b4192354a771/services/src/main/java/org/keycloak/credential/WebAuthnCredentialProvider.java#L236,https://semgrep.dev/orgs/anyhow_richness507-slmails-com/findings/150205071,2025-02-28 04:03:35.807550,2025-02-28 04:03:35.783223,refs/heads/main,,,,Possible active debug code detected. Deploying an application with debug code can create unintended entry points or expose sensitive information.
150205070,java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace,Code,Medium,Open,Medium,security,False,,,,linux984/keycloak,https://github.com/linux984/keycloak,https://github.com/linux984/keycloak/blob/c8738721df2cd2d16fe16adec571b4192354a771/services/src/main/java/org/keycloak/services/error/KeycloakErrorHandler.java#L215,https://semgrep.dev/orgs/anyhow_richness507-slmails-com/findings/150205070,2025-02-28 04:03:35.807535,2025-02-28 04:03:35.783217,refs/heads/main,,,,Possible active debug code detected. Deploying an application with debug code can create unintended entry points or expose sensitive information.
